TransactionID,Date,Month,Month_Num,Quarter,Year,Region,Vendor,Category,Product,Unit_Price_BDT,Quantity,Discount_Pct,Total_Sale_BDT,Customer_Segment,Sales_Channel,Payment_Method
TXN0001,2024-01-01,January,1,Q1,2024,Dhaka,Al-Amin Wholesale,Clothing & Textiles,Panjabi,950,33,12.8,27337.2,Government,Field Agent,Credit Card
TXN0002,2024-01-01,January,1,Q1,2024,Chattogram,Shovon Brothers Ltd.,Food & Beverage,Biscuit Pack,120,5,2.6,584.4,Retail,Field Agent,Bank Transfer
TXN0003,2024-01-02,January,1,Q1,2024,Chattogram,Prime Goods BD,Agro Products,Fertilizer,1200,27,5.3,30682.8,Government,In-Store,Nagad
TXN0004,2024-01-02,January,1,Q1,2024,Rangpur,Jamuna Suppliers,Agro Products,Jute Bale,2200,47,10.8,92232.8,Wholesale,Field Agent,bKash
TXN0005,2024-01-03,January,1,Q1,2024,Dhaka,Bismillah Trading,Agro Products,Pesticide,850,45,8.9,34845.75,Government,Field Agent,Credit Card
TXN0006,2024-01-03,January,1,Q1,2024,Rangpur,Sonali Commerce,Electronics,Mobile Phone,18000,20,8.9,327960.0,Corporate,Distributor,Cash
TXN0007,2024-01-03,January,1,Q1,2024,Khulna,National Suppliers Ltd.,Home & Furniture,Bed Sheet Set,950,9,9.2,7763.4,Corporate,Field Agent,Cash
TXN0008,2024-01-03,January,1,Q1,2024,Rangpur,National Suppliers Ltd.,Cosmetics & Beauty,Shampoo,220,37,11.6,7195.76,Wholesale,In-Store,bKash
TXN0009,2024-01-03,January,1,Q1,2024,Dhaka,Star Mart BD,Cosmetics & Beauty,Talcum Powder,90,33,14.7,2533.41,Government,Online,bKash
TXN0010,2024-01-03,January,1,Q1,2024,Barishal,Karnaphuli Goods,Electronics,Mobile Phone,18000,10,12.2,158040.0,Corporate,In-Store,bKash
TXN0011,2024-01-03,January,1,Q1,2024,Rajshahi,Star Mart BD,Cosmetics & Beauty,Lipstick,150,39,3.2,5662.8,Wholesale,In-Store,Credit Card
TXN0012,2024-01-04,January,1,Q1,2024,Chattogram,Halda Merchants,Stationery & Office,Calculator,750,40,3.3,29010.0,Wholesale,Distributor,Nagad
TXN0013,2024-01-04,January,1,Q1,2024,Khulna,Rupsha Distributors,Food & Beverage,Mineral Water,20,27,1.2,533.52,Retail,Distributor,bKash
TXN0014,2024-01-04,January,1,Q1,2024,Chattogram,Prime Goods BD,Pharmaceuticals,Paracetamol,10,36,3.4,347.76,Corporate,Field Agent,Nagad
TXN0015,2024-01-04,January,1,Q1,2024,Khulna,Metro Trading House,Stationery & Office,Notebook,60,10,11.0,534.0,Corporate,Distributor,Credit Card
TXN0016,2024-01-04,January,1,Q1,2024,Rangpur,Padma Enterprise,Home & Furniture,Pillow,350,31,10.4,9721.6,Retail,In-Store,Credit Card
TXN0017,2024-01-04,January,1,Q1,2024,Rajshahi,Bangladesh Agro Depot,Home & Furniture,Bed Sheet Set,950,9,10.7,7635.15,Retail,Online,Cash
TXN0018,2024-01-04,January,1,Q1,2024,Chattogram,Shovon Brothers Ltd.,Agro Products,Fertilizer,1200,30,13.5,31140.0,Government,Online,Nagad
TXN0019,2024-01-04,January,1,Q1,2024,Sylhet,Halda Merchants,Food & Beverage,Noodles,25,8,9.5,181.0,Government,Field Agent,Credit Card
TXN0020,2024-01-04,January,1,Q1,2024,Chattogram,Shovon Brothers Ltd.,Stationery & Office,Stapler,350,21,1.0,7276.5,Retail,In-Store,Cash
TXN0021,2024-01-05,January,1,Q1,2024,Rangpur,Teesta Traders,Clothing & Textiles,T-Shirt,450,24,13.6,9331.2,Government,Online,bKash
TXN0022,2024-01-05,January,1,Q1,2024,Dhaka,Metro Trading House,Clothing & Textiles,Saree,1200,13,7.8,14383.2,Government,Online,Credit Card
TXN0023,2024-01-05,January,1,Q1,2024,Mymensingh,Rupsha Distributors,Food & Beverage,Mineral Water,20,39,1.0,772.2,Government,Distributor,Credit Card
TXN0024,2024-01-06,January,1,Q1,2024,Mymensingh,Meghna Traders,Cosmetics & Beauty,Talcum Powder,90,2,11.1,160.02,Wholesale,Distributor,Credit Card
TXN0025,2024-01-06,January,1,Q1,2024,Dhaka,Bismillah Trading,Cosmetics & Beauty,Face Cream,250,26,8.3,5960.5,Government,In-Store,Credit Card
TXN0026,2024-01-06,January,1,Q1,2024,Barishal,Metro Trading House,Electronics,Electric Fan,1500,44,1.6,64944.0,Government,In-Store,Cash
TXN0027,2024-01-07,January,1,Q1,2024,Chattogram,Star Mart BD,Food & Beverage,Biscuit Pack,120,11,2.9,1281.72,Government,Online,bKash
TXN0028,2024-01-07,January,1,Q1,2024,Mymensingh,Greenfield Distributors,Clothing & Textiles,Salwar Kameez,700,30,5.0,19950.0,Retail,Distributor,Credit Card
TXN0029,2024-01-07,January,1,Q1,2024,Dhaka,Metro Trading House,Stationery & Office,Printer Paper,550,3,13.9,1420.65,Corporate,In-Store,bKash
TXN0030,2024-01-07,January,1,Q1,2024,Dhaka,Prime Goods BD,Stationery & Office,Printer Paper,550,44,7.8,22312.4,Government,In-Store,Cash
TXN0031,2024-01-08,January,1,Q1,2024,Barishal,Rahim & Sons Co.,Electronics,Smart TV,35000,46,9.5,1457050.0,Wholesale,In-Store,Cash
TXN0032,2024-01-09,January,1,Q1,2024,Sylhet,Greenfield Distributors,Pharmaceuticals,Paracetamol,10,35,1.5,344.75,Wholesale,Distributor,Bank Transfer
TXN0033,2024-01-09,January,1,Q1,2024,Rajshahi,Padma Enterprise,Stationery & Office,Ballpoint Pen Box,180,32,12.2,5057.28,Government,Field Agent,bKash
TXN0034,2024-01-09,January,1,Q1,2024,Rajshahi,Teesta Traders,Home & Furniture,Bed Sheet Set,950,32,1.9,29822.4,Wholesale,Online,Credit Card
TXN0035,2024-01-09,January,1,Q1,2024,Khulna,Halda Merchants,Pharmaceuticals,Paracetamol,10,13,2.0,127.4,Retail,Online,Cash
TXN0036,2024-01-09,January,1,Q1,2024,Dhaka,Al-Amin Wholesale,Clothing & Textiles,Panjabi,950,32,2.3,29700.8,Wholesale,In-Store,Nagad
TXN0037,2024-01-09,January,1,Q1,2024,Dhaka,Bismillah Trading,Stationery & Office,Stapler,350,17,12.9,5182.45,Retail,Distributor,Credit Card
TXN0038,2024-01-09,January,1,Q1,2024,Sylhet,Greenfield Distributors,Food & Beverage,Biscuit Pack,120,22,10.7,2357.52,Government,Field Agent,bKash
TXN0039,2024-01-10,January,1,Q1,2024,Rajshahi,Greenfield Distributors,Agro Products,Pesticide,850,11,11.0,8321.5,Government,Distributor,Nagad
TXN0040,2024-01-10,January,1,Q1,2024,Chattogram,Halda Merchants,Agro Products,Fertilizer,1200,24,13.7,24854.4,Retail,Field Agent,Cash
TXN0041,2024-01-11,January,1,Q1,2024,Chattogram,Prime Goods BD,Cosmetics & Beauty,Lipstick,150,43,2.2,6308.1,Retail,Distributor,Cash
TXN0042,2024-01-11,January,1,Q1,2024,Chattogram,Star Mart BD,Home & Furniture,Bed Sheet Set,950,40,12.8,33136.0,Government,In-Store,Bank Transfer
TXN0043,2024-01-11,January,1,Q1,2024,Dhaka,National Suppliers Ltd.,Agro Products,Potato (Sack),1100,39,9.2,38953.2,Retail,In-Store,Nagad
TXN0044,2024-01-11,January,1,Q1,2024,Dhaka,Al-Amin Wholesale,Electronics,Smart TV,35000,13,8.7,415415.0,Corporate,Online,Bank Transfer
TXN0045,2024-01-12,January,1,Q1,2024,Dhaka,Al-Amin Wholesale,Clothing & Textiles,T-Shirt,450,21,13.9,8136.45,Wholesale,Online,Nagad
TXN0046,2024-01-12,January,1,Q1,2024,Dhaka,Rahim & Sons Co.,Clothing & Textiles,Saree,1200,23,13.4,23901.6,Wholesale,Distributor,Nagad
TXN0047,2024-01-12,January,1,Q1,2024,Barishal,Rupsha Distributors,Stationery & Office,Calculator,750,10,6.6,7005.0,Wholesale,Online,Nagad
TXN0048,2024-01-12,January,1,Q1,2024,Dhaka,Metro Trading House,Pharmaceuticals,Paracetamol,10,11,1.3,108.57,Corporate,Distributor,Nagad
TXN0049,2024-01-13,January,1,Q1,2024,Khulna,Rahim & Sons Co.,Food & Beverage,Rice (50kg),2800,26,9.3,66029.6,Wholesale,Distributor,bKash
TXN0050,2024-01-13,January,1,Q1,2024,Rajshahi,Padma Enterprise,Pharmaceuticals,Saline,40,21,9.0,764.4,Retail,Field Agent,Bank Transfer
